City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,megion,61.0296,76.1136,-9.99,97,99,3.72,RU,1676524985
1,port alfred,-33.5906,26.891,19.54,96,99,0.45,ZA,1676524900
2,norman wells,65.282,-126.8329,-27.98,76,75,1.54,CA,1676524979
3,ancud,-41.8697,-73.8203,8.61,72,62,3.98,CL,1676524896
4,tocopilla,-22.092,-70.1979,21.61,84,37,1.35,CL,1676524914
5,busselton,-33.65,115.3333,22.88,56,56,5.26,AU,1676524908
6,mana,5.6592,-53.7767,24.15,92,100,3.99,GF,1676524987
7,jakarta,-6.2146,106.8451,30.05,57,40,7.72,ID,1676524214
8,rikitea,-23.1203,-134.9692,26.34,70,100,2.49,PF,1676524902
9,gladstone,-23.85,151.25,29.96,48,100,8.75,AU,1676524988
10,port blair,11.6667,92.75,28.01,69,32,5.37,IN,1676524988
11,miri,4.4148,114.0089,30.08,79,40,4.12,MY,1676524976
12,barrow,71.2906,-156.7887,-28.99,69,75,3.6,US,1676524916
13,mataura,-46.1927,168.8643,14.71,44,86,2.83,NZ,1676524899
14,estelle,29.8458,-90.1067,21.67,92,75,4.12,US,1676524989
15,arraial do cabo,-22.9661,-42.0278,24.47,91,100,3.24,BR,1676524916
16,belaya gora,68.5333,146.4167,-36.25,99,94,1.18,RU,1676524990
17,georgetown,5.4112,100.3354,30.97,55,20,1.54,MY,1676524750
18,pyapon,16.2833,95.6833,31.56,41,3,3.9,MM,1676524990
19,hamilton,39.1834,-84.5333,15.43,80,0,3.6,US,1676524991
20,khandbari,27.3747,87.2039,22.68,31,87,2.04,NP,1676524991
21,araouane,18.9048,-3.5265,21.02,16,100,6.94,ML,1676524992
22,grand gaube,-20.0064,57.6608,28.54,62,5,3.13,MU,1676524943
23,comodoro rivadavia,-45.8667,-67.5,9.92,32,0,9.77,AR,1676524993
24,ushuaia,-54.8,-68.3,1.81,93,75,8.23,AR,1676524675
25,kangavar,34.5043,47.9653,-2.46,81,9,1.2,IR,1676524993
26,new norfolk,-42.7826,147.0587,23.72,67,100,0.45,AU,1676524908
27,aksu,41.1231,80.2644,2.52,43,69,1.72,CN,1676524994
28,leningradskiy,69.3833,178.4167,-34.4,98,99,3.28,RU,1676524995
29,arcachon,44.5875,-1.0519,5.18,93,100,0.0,FR,1676524995
30,quatre cocos,-20.2078,57.7625,28.38,70,12,3.44,MU,1676524995
31,longyearbyen,78.2186,15.6401,-3.09,80,40,11.83,SJ,1676524960
32,pisco,-13.7,-76.2167,23.03,88,20,1.54,PE,1676524996
33,caravelas,-17.7125,-39.2481,25.13,84,68,3.15,BR,1676524947
34,hobart,-42.8794,147.3294,23.92,59,75,3.6,AU,1676524628
35,ponta delgada,37.7333,-25.6667,13.4,71,75,3.09,PT,1676524997
36,albany,42.6001,-73.9662,13.18,65,3,2.7,US,1676524770
37,kysyl-syr,63.8986,122.7617,-25.34,96,100,2.16,RU,1676524991
38,manoel urbano,-8.8389,-69.2597,22.63,99,100,1.07,BR,1676524998
